Vehicle_ID,Mileage_km,Fuel_Consumption_L_per_100km,Engine_Hours,Number_of_Trips,Engine_Temperature_C,Tire_Pressure_PSI,Battery_Voltage_V,Oil_Level_L,Vibration_Units,Noise_Level_dB,Breakdown_Incidents,Part_Replacements,Service_History,MaintenanceRequired
V09152,297896,7.99,2795,684,107,24.0,14.7,4.58,6.37,83,3,4,1,1
V09153,224960,13.99,11572,2493,100,29.6,14.6,4.37,7.27,98,2,5,4,1
V09154,121598,6.08,6740,125,74,35.2,13.2,4.68,9.02,95,1,8,5,1
V09155,178719,6.56,2489,799,87,27.8,14.6,2.44,1.56,72,3,1,2,0
V09156,200855,10.43,8857,2247,106,23.7,10.3,2.3,8.37,81,2,9,5,0
V09157,156803,12.19,4886,1438,108,27.4,12.4,2.64,2.17,89,0,5,0,0
V09158,191902,14.03,11086,293,85,22.8,10.2,4.49,0.27,78,0,7,1,1
V09159,91593,14.4,3045,912,80,35.3,11.2,4.59,0.13,64,3,9,3,0
V09160,147510,7.38,10145,1795,85,34.4,10.9,4.1,8.5,79,0,4,0,1
V09161,81032,12.64,4660,749,70,40.7,14.3,4.03,9.48,70,1,7,0,0
V09162,277086,16.77,1913,2225,92,43.5,13.2,1.23,4.5,62,3,5,3,1
V09163,108217,6.91,991,393,104,23.0,10.9,4.93,0.78,73,1,9,2,0
V09164,284932,13.13,10571,150,89,36.7,12.4,3.22,7.13,74,2,4,5,1
V09165,108212,10.73,2024,2109,109,32.1,10.0,4.47,2.98,95,1,7,5,1
V09166,287264,17.84,11210,1596,99,29.3,12.5,1.47,7.45,96,2,1,2,1
V09167,220754,6.41,3055,2471,114,43.1,13.3,2.4,3.01,53,4,7,5,1
V09168,74464,15.48,8514,1651,119,33.6,14.9,2.22,9.99,64,0,5,5,1
V09169,152666,16.94,1513,2480,75,35.8,10.1,1.93,0.79,72,2,0,4,1
V09170,227604,17.51,11428,498,98,23.4,12.0,2.24,2.22,92,2,3,5,0
V09171,261058,15.35,8385,1454,116,41.0,10.3,1.95,0.72,82,1,6,4,0
V09172,112737,15.66,7939,2107,104,44.5,11.9,3.91,9.28,77,3,1,0,0
V09173,69482,17.32,11141,1943,116,39.5,13.2,2.64,3.85,95,2,1,3,1
V09174,79911,16.01,9369,2062,79,24.4,12.2,3.86,5.8,56,0,3,0,1
V09175,80783,11.35,2918,686,75,44.0,10.9,3.47,1.34,90,3,3,3,0
V09176,90076,11.81,4911,1862,117,40.6,13.9,1.38,9.39,81,1,6,3,1
V09177,223956,6.81,3871,556,92,25.2,11.7,1.85,1.96,80,1,9,3,1
V09178,142210,10.62,6793,1578,87,33.2,13.1,2.19,0.54,79,2,0,3,0
V09179,184848,12.43,9265,488,86,28.9,12.4,2.2,4.99,67,1,2,5,0
V09180,176656,8.7,6981,1244,103,26.2,10.5,2.88,8.67,69,0,5,4,0
V09181,229579,11.9,4412,1429,110,37.6,14.0,1.79,8.5,62,3,4,5,0
V09182,61205,7.14,4965,1415,76,21.4,14.2,3.24,8.95,98,2,8,3,0
V09183,247032,14.58,9602,1376,106,43.8,10.1,4.69,8.76,81,4,2,2,1
V09184,134689,11.1,9764,1420,109,33.6,10.4,2.96,0.31,53,4,3,5,0
V09185,60275,7.78,1688,2170,107,27.4,12.2,4.5,9.47,56,3,0,1,0
V09186,71912,8.3,8978,92,82,23.8,12.2,2.54,3.02,51,4,1,5,0
V09187,217705,12.89,6309,1469,118,21.0,12.8,3.78,7.98,63,4,7,3,1
V09188,180385,10.34,2654,936,103,27.6,12.1,3.28,1.3,71,2,9,5,0
V09189,132799,17.71,10095,928,109,20.4,10.9,1.86,7.75,50,2,2,3,1
V09190,122904,6.46,4187,1808,92,24.2,12.4,1.99,9.39,62,4,7,5,1
V09191,287231,12.51,9533,535,115,28.5,11.1,1.03,8.53,90,4,8,1,1
V09192,133764,7.61,995,460,80,26.0,11.7,3.9,6.36,74,0,7,3,0
V09193,53602,12.26,8771,408,79,32.3,11.4,2.01,9.14,75,4,5,4,1
V09194,116145,7.57,2014,990,74,24.8,12.7,3.1,5.1,97,4,0,3,0
V09195,218563,14.02,5835,2237,93,41.9,12.6,2.73,7.93,80,3,9,0,0
V09196,235096,14.19,3946,275,92,37.3,11.9,3.35,0.1,90,4,8,3,0
V09197,237937,11.7,6831,1467,75,31.4,13.2,2.24,1.75,99,0,0,3,1
V09198,191257,12.56,6494,1862,83,28.2,12.1,3.35,0.26,61,2,3,5,0
V09199,123530,8.68,7593,231,86,36.8,13.9,1.83,5.82,51,0,5,4,0
V09200,62089,7.41,11419,528,97,26.1,12.5,4.1,2.55,97,3,9,0,1
V09201,96987,8.23,6429,1314,94,28.0,12.1,1.18,6.45,61,0,1,1,0
V09202,242809,14.83,6752,664,112,23.9,11.2,1.02,6.82,93,2,2,2,0
V09203,172338,10.67,1475,839,70,43.1,13.5,4.91,1.0,94,2,9,1,0
V09204,282330,9.05,8292,1586,100,44.9,10.5,3.61,8.73,88,0,6,0,1
V09205,94653,17.26,2459,940,75,23.6,13.1,4.55,8.71,95,3,4,0,1
V09206,169925,6.3,4863,1248,101,39.0,12.1,4.54,3.45,77,1,4,5,0
V09207,200784,7.46,8792,2071,87,26.1,14.1,1.21,6.08,55,0,5,2,1
V09208,150584,10.16,2711,1582,107,42.4,10.7,1.51,2.76,76,0,5,5,1
V09209,138731,9.66,11205,268,113,23.0,10.8,2.95,5.46,60,1,0,3,0
V09210,208170,10.85,7459,2113,100,27.0,10.5,2.22,3.25,89,4,0,3,1
V09211,152866,12.85,2084,592,98,24.3,14.1,1.42,6.14,54,0,6,5,1
V09212,145367,9.93,11750,329,89,35.8,13.6,1.89,3.96,68,2,2,5,0
V09213,154716,15.38,7169,1591,100,22.2,11.9,4.83,4.58,89,3,3,0,1
V09214,124224,17.29,1096,855,118,44.6,14.4,1.17,8.74,98,3,3,1,1
V09215,160280,13.65,5139,751,118,44.1,10.3,3.85,2.33,80,1,5,4,0
V09216,268640,16.04,8160,1588,92,29.2,13.6,3.55,7.46,54,4,0,0,0
V09217,210603,9.29,9299,592,102,44.0,13.7,4.57,0.37,71,3,0,1,1
V09218,157586,6.09,2492,2139,119,42.3,12.6,3.7,9.51,85,2,3,0,1
V09219,167386,8.99,4736,646,89,31.8,12.9,1.83,1.45,94,4,5,5,0
V09220,181362,17.24,4143,1105,111,27.5,14.1,3.08,0.26,81,4,7,2,1
V09221,129889,13.24,7658,2285,89,35.2,13.3,4.93,5.43,58,0,2,5,0
V09222,100137,9.02,9280,1833,100,26.9,11.7,1.48,7.72,64,1,1,1,1
V09223,261436,8.41,8194,643,107,32.6,12.4,2.46,0.99,56,2,6,0,0
V09224,171706,14.01,1024,449,76,42.7,11.1,4.09,9.84,77,4,3,3,1
V09225,191253,14.52,5787,1173,102,42.1,13.1,5.0,6.77,87,3,1,2,1
V09226,285378,16.7,2487,2311,103,27.0,14.0,2.73,1.58,87,2,8,3,0
V09227,99172,10.9,3550,561,91,28.3,12.1,3.14,4.76,87,1,8,2,0
V09228,71877,12.41,2337,152,77,33.6,12.9,3.51,2.32,54,3,2,1,0
V09229,293966,16.86,3048,631,99,35.9,10.7,4.63,3.43,56,4,7,1,0
V09230,169082,17.84,9913,606,80,39.9,11.8,3.93,1.61,93,0,8,2,0
V09231,269071,18.0,816,1083,106,23.1,12.6,1.93,3.48,89,0,1,0,1
V09232,58483,12.31,7305,1743,91,42.7,11.9,4.91,4.28,89,1,8,0,0
V09233,104137,16.59,9723,881,108,31.8,12.0,1.77,0.87,95,0,9,4,1
V09234,263292,7.9,8202,1653,86,42.3,12.9,1.34,2.23,51,1,8,3,1
V09235,120201,10.03,6022,2415,72,33.0,13.7,1.36,5.94,95,4,0,1,1
V09236,149140,8.4,1680,1375,110,42.5,14.9,3.26,2.52,63,1,9,3,0
V09237,219341,17.85,2608,2268,82,44.0,13.4,3.29,3.8,69,3,2,2,0
V09238,238328,9.95,6413,205,85,35.1,13.0,4.0,9.67,69,0,1,5,1
V09239,110511,11.84,7517,1279,91,29.3,11.0,4.26,2.58,51,4,2,1,0
V09240,224964,8.31,6337,2485,116,31.8,10.5,2.46,8.78,88,2,7,3,1
V09241,231015,11.96,3695,118,108,37.8,10.9,1.27,2.71,98,1,0,3,1
V09242,124108,9.6,5057,166,109,20.8,13.8,4.57,7.89,68,1,1,4,1
V09243,68756,13.16,10528,2058,109,44.5,13.8,2.63,4.76,65,1,3,0,1
V09244,157070,8.16,7305,2332,89,26.6,12.8,2.45,7.16,90,2,5,3,1
V09245,217288,7.23,4233,842,96,21.3,13.6,3.64,2.09,72,3,7,1,0
V09246,58899,12.58,8171,1216,87,20.4,11.4,3.43,6.12,77,2,0,0,1
V09247,284389,8.67,7280,1903,104,23.3,14.1,2.04,8.09,75,2,9,5,0
V09248,218908,12.07,5519,1048,87,33.1,13.1,4.44,7.1,53,4,2,3,1
V09249,143260,7.12,11086,1631,102,24.9,14.6,3.65,0.62,81,1,0,0,1
V09250,167124,14.3,10465,2403,107,34.6,13.2,3.58,2.66,71,1,4,4,0
V09251,234009,15.3,5057,2187,119,23.4,11.9,1.88,2.23,69,0,4,2,1
V09252,59640,16.88,4067,2008,105,25.0,10.9,4.61,2.76,93,3,2,4,1
V09253,194808,16.81,10202,306,111,32.1,12.0,4.92,5.51,83,3,9,4,1
V09254,206182,6.85,9520,981,113,37.5,14.5,3.81,7.19,58,1,2,0,0
V09255,244535,16.43,7089,1867,73,34.3,13.2,4.79,3.01,89,3,4,2,1
V09256,70631,11.26,3335,386,95,34.3,12.7,1.41,3.7,68,3,5,4,0
V09257,263845,8.06,3082,368,96,39.3,13.6,3.86,3.94,99,1,9,4,0
V09258,65859,9.84,10388,2071,94,31.9,10.5,4.01,4.49,86,3,7,3,1
V09259,144920,10.07,5838,529,90,33.4,14.4,4.45,8.51,95,2,9,3,0
V09260,75826,17.68,8741,1572,86,34.2,12.0,4.35,1.41,93,4,4,4,0
V09261,53825,7.03,5241,1315,77,42.0,10.7,4.93,5.26,64,0,9,2,1
V09262,94622,12.61,10202,2029,78,32.4,13.9,2.26,6.2,62,4,1,3,1
V09263,256787,14.01,5016,2367,112,40.3,15.0,4.69,1.31,89,3,3,2,1
V09264,199623,9.15,11938,713,72,29.6,11.2,4.13,3.02,96,4,2,0,1
V09265,192114,6.24,10192,663,113,33.8,12.2,1.93,9.16,70,4,0,5,1
V09266,234695,14.29,8837,466,79,42.6,12.2,3.56,7.98,87,1,8,4,1
V09267,251312,15.14,4377,2325,106,25.1,14.0,1.44,3.94,69,1,8,5,1
V09268,163705,17.74,653,649,116,37.5,14.6,1.53,1.43,50,2,2,5,0
V09269,130121,8.23,7181,1909,105,30.5,14.1,1.97,5.64,72,2,5,4,1
V09270,281390,13.81,7886,421,82,25.2,12.8,4.68,5.57,70,0,9,4,1
V09271,207315,16.99,7015,1386,75,23.6,11.3,3.64,9.36,55,1,9,4,1
V09272,77029,17.99,3771,57,112,30.4,12.2,2.78,7.67,68,4,9,3,0
V09273,185466,15.21,1504,720,93,22.1,10.8,3.97,8.16,99,4,7,1,0
V09274,87637,13.49,6648,1993,114,41.5,13.7,3.37,8.33,73,3,2,5,1
V09275,243765,11.95,9561,2287,111,25.7,11.6,4.56,6.36,80,3,0,4,1
V09276,100170,12.26,10241,2120,80,34.6,11.1,1.88,2.93,88,2,9,0,1
V09277,265023,10.28,9578,1763,96,33.3,13.2,4.39,2.03,85,4,7,2,1
V09278,195588,13.93,5455,1800,80,29.4,13.9,3.03,0.31,61,2,7,3,0
V09279,89087,16.55,8295,1619,73,26.4,13.4,1.17,4.47,52,4,7,3,0
V09280,157119,11.16,11369,1352,73,42.2,14.3,4.85,3.67,83,4,4,2,1
V09281,225997,13.37,9073,1636,98,20.3,14.0,4.57,4.02,60,4,4,1,1
V09282,232217,13.58,8096,1190,74,30.4,11.3,1.81,6.01,97,4,7,4,1
V09283,73731,7.19,10828,379,91,24.6,13.3,3.77,3.9,66,3,2,0,0
V09284,290693,7.24,8318,844,80,36.6,10.7,3.43,5.55,68,2,8,3,1
V09285,189039,13.4,1368,2468,83,24.6,14.1,1.28,7.03,68,3,9,3,1
V09286,159365,17.43,2586,2087,95,23.7,11.5,2.16,0.49,61,2,6,5,0
V09287,158957,10.73,3640,1727,115,39.5,12.6,4.5,7.47,84,1,1,4,0
V09288,136601,14.79,6133,1578,85,25.8,13.8,4.25,0.13,72,0,7,3,1
V09289,266996,15.75,9653,776,93,25.6,14.4,3.96,0.04,81,1,0,0,0
V09290,221593,6.0,7554,1320,107,37.3,12.0,1.24,9.9,58,4,6,1,1
V09291,184042,12.65,9672,1269,106,29.9,11.0,1.61,3.24,62,0,8,4,1
V09292,71685,12.75,2966,800,105,25.2,11.3,4.06,6.68,67,3,3,0,1
V09293,180622,17.38,8009,2012,112,32.8,12.1,2.54,9.87,76,0,3,4,1
V09294,55224,11.65,9754,774,89,40.0,10.7,1.75,0.58,68,3,9,0,1
V09295,188735,10.91,1049,1611,75,31.5,12.8,2.74,4.01,54,3,5,5,0
V09296,249394,10.84,608,1810,94,33.0,15.0,3.78,3.68,91,1,0,5,1
V09297,128696,10.43,4681,198,114,39.2,13.4,4.16,0.79,77,3,9,0,0
V09298,232093,12.43,10511,1579,93,30.3,12.5,1.55,2.3,93,1,7,3,1
V09299,166390,9.59,10828,194,84,28.5,14.1,2.32,7.32,82,3,4,4,1
V09300,285879,6.84,9619,1160,93,29.7,10.1,3.73,7.76,50,4,2,2,1
V09301,138947,10.03,4714,1515,100,30.6,11.3,4.43,8.81,52,0,4,0,1
V09302,103263,8.06,11087,2461,103,43.0,10.1,2.35,7.1,50,3,0,2,0
V09303,295968,10.47,7061,327,83,39.9,11.9,3.14,3.8,80,4,7,2,0
V09304,274100,10.25,9462,761,87,26.0,10.3,2.86,2.36,83,2,0,4,1
V09305,193000,10.04,1007,812,105,29.0,14.7,1.12,0.72,69,3,4,1,0
V09306,154726,17.01,11067,1845,87,33.5,10.0,1.21,2.51,97,1,9,5,1
V09307,71752,13.95,8057,796,76,33.6,10.1,2.37,7.39,87,1,2,2,1
V09308,142253,6.84,1068,2211,104,23.5,14.0,3.14,2.48,60,2,1,3,0
V09309,59212,7.76,1012,850,76,41.4,11.9,2.07,4.91,83,2,1,5,0
V09310,134607,6.27,681,435,94,35.9,12.4,2.5,6.94,55,4,9,1,0
V09311,123687,8.38,1938,2423,77,25.9,10.0,4.82,9.73,83,4,4,0,1
V09312,86050,12.48,4112,1906,101,21.2,10.8,2.88,4.63,74,3,1,4,1
V09313,176542,17.57,11494,443,84,36.8,14.1,1.42,5.78,98,0,0,1,1
V09314,277303,12.01,7127,1872,89,39.1,14.7,4.9,1.13,57,0,2,0,1
V09315,247547,6.9,8009,2474,77,43.6,11.8,3.11,9.41,56,1,2,2,1
V09316,261973,16.79,3334,1465,71,38.4,10.0,3.35,5.67,70,1,9,4,0
V09317,215368,16.6,9350,2174,106,33.0,12.3,4.14,4.28,80,3,4,4,0
V09318,132620,8.81,7547,239,105,36.1,14.2,4.6,3.96,62,2,1,2,0
V09319,196325,8.29,9572,803,114,32.2,10.8,2.25,7.14,73,2,9,3,0
V09320,203590,16.42,8131,2464,113,29.1,12.2,3.81,4.25,62,2,5,2,1
V09321,80869,10.03,2581,2270,89,22.1,11.3,3.85,9.35,97,2,0,3,1
V09322,233661,6.26,10274,1362,71,32.7,10.4,2.49,9.94,88,4,9,5,1
V09323,153970,15.42,10339,568,93,22.2,14.7,4.03,7.79,89,1,1,2,1
V09324,241992,14.82,2934,1446,108,24.8,11.3,2.57,6.28,58,4,8,4,1
V09325,88947,6.75,5838,814,113,30.3,12.5,4.39,3.23,61,1,3,5,0
V09326,128098,15.31,9869,421,80,39.1,10.3,2.16,2.39,86,1,6,1,1
V09327,101055,16.23,5138,486,75,20.4,13.3,3.34,5.48,63,0,5,0,0
V09328,248188,11.0,4726,1562,114,38.7,10.9,2.09,3.88,97,4,5,0,1
V09329,202944,9.74,1996,1643,98,31.7,13.5,4.98,4.47,85,0,2,4,0
V09330,174020,11.16,11957,322,87,20.9,14.2,2.46,8.33,63,1,4,0,1
V09331,146591,6.23,2189,1579,98,37.4,11.9,2.74,4.57,85,4,8,4,0
V09332,127957,17.61,11409,1973,75,36.9,11.5,2.51,3.07,77,1,4,2,0
V09333,105405,14.8,11785,1268,114,43.1,10.9,1.61,2.06,84,3,0,4,1
V09334,159253,11.18,7820,1099,90,36.8,13.6,1.97,4.61,96,3,2,0,1
V09335,215401,14.86,5251,2217,92,30.3,12.7,1.87,3.15,51,3,7,5,1
V09336,157554,11.17,975,1473,119,29.5,13.1,4.67,6.73,65,0,8,0,0
V09337,217364,7.15,10754,2407,108,32.3,11.5,4.63,6.78,55,4,0,1,1
V09338,189018,15.93,637,2179,86,43.0,14.4,4.81,2.47,74,3,5,4,0
V09339,102131,9.01,5580,593,84,36.8,12.9,4.49,5.02,88,4,4,3,0
V09340,288058,17.26,4454,723,82,35.4,12.2,3.42,6.55,80,4,7,5,0
V09341,186147,9.48,8897,983,119,33.9,13.9,1.03,2.02,68,0,0,4,0
V09342,238086,14.84,7590,155,107,24.7,11.3,1.98,3.19,76,3,7,2,1
V09343,133466,16.28,2022,1163,85,25.3,12.3,1.81,5.13,94,1,6,0,1
V09344,298391,13.76,4948,1651,83,39.6,10.2,3.04,9.52,80,4,0,3,1
V09345,96828,12.73,11305,1989,78,33.9,12.9,1.76,8.11,73,4,4,1,1
V09346,64497,17.38,3626,334,119,40.1,13.7,1.64,2.0,53,1,5,2,1
V09347,253604,16.77,5009,893,109,27.3,14.2,1.01,8.15,73,2,5,0,0
V09348,284387,11.1,10047,132,72,33.3,13.2,4.81,3.02,53,3,6,1,0
V09349,148061,14.84,4802,101,71,28.3,11.8,3.38,2.52,95,4,2,4,0
V09350,87720,13.06,4957,893,110,36.5,13.0,2.2,6.15,97,1,1,2,0
V09351,288320,16.96,11446,246,116,43.4,11.8,2.29,1.93,82,1,0,1,1
V09352,186983,12.15,3421,1062,89,33.8,14.5,2.65,6.88,82,2,7,3,0
V09353,283228,8.71,4419,402,109,27.7,11.3,3.11,7.05,91,4,5,4,1
V09354,282650,11.15,7896,1097,89,22.9,11.1,2.26,0.6,90,0,4,1,1
V09355,171184,15.69,11569,2474,84,28.4,14.3,1.58,5.54,98,3,6,4,1
V09356,107373,12.67,10018,171,100,27.5,10.5,3.36,6.64,73,3,7,0,1
V09357,136288,10.13,1690,178,76,35.8,11.4,2.45,6.71,91,1,2,4,1
V09358,249830,8.77,2735,2226,95,28.5,12.5,3.4,5.79,82,3,9,2,1
V09359,259250,8.92,8508,230,79,36.6,11.2,1.04,9.25,57,0,0,0,0
V09360,243027,13.25,11550,2393,88,38.4,13.6,1.18,4.2,82,1,9,4,1
V09361,257090,7.1,6573,2323,73,30.2,11.2,3.33,8.62,73,1,6,0,1
V09362,229779,9.93,2078,2468,99,35.2,10.4,4.64,8.58,84,1,0,1,1
V09363,125974,10.22,4277,2269,115,38.1,13.5,2.22,2.92,72,0,3,5,0
V09364,229337,7.3,4610,2002,72,42.1,13.0,3.67,6.51,54,3,9,4,1
V09365,217315,11.46,5010,1061,72,28.6,10.2,2.76,0.57,96,3,9,2,1
V09366,156023,9.41,10935,2433,70,26.5,14.9,3.3,9.55,84,3,7,2,1
V09367,137968,10.88,2752,760,100,20.8,13.9,2.84,8.34,89,2,2,1,1
V09368,56033,12.46,3892,1834,86,32.9,13.4,2.4,3.34,63,3,2,4,0
V09369,110116,7.38,7376,1392,112,43.7,12.0,3.73,6.3,66,4,9,4,1
V09370,246340,6.25,1528,907,88,33.0,12.8,3.62,7.06,67,1,1,1,0
V09371,129993,7.03,2517,1945,109,27.6,10.6,3.65,9.18,97,1,0,2,0
V09372,117210,11.67,11994,662,72,39.3,12.5,2.18,8.91,95,3,0,4,1
V09373,265897,17.37,5657,1780,99,22.2,14.7,4.91,1.08,70,0,9,1,1
V09374,170746,10.04,9498,139,83,23.3,11.6,3.86,0.51,63,4,7,3,0
V09375,150128,7.87,2526,88,117,32.5,14.4,4.82,4.36,67,3,2,2,0
V09376,152605,9.06,5790,1455,81,22.1,12.6,2.95,2.28,75,1,2,2,0
V09377,64394,6.43,4058,296,76,40.1,13.1,2.58,8.42,51,1,2,0,0
V09378,179107,9.25,7174,209,119,25.4,13.2,2.64,2.85,95,4,0,2,1
V09379,94305,14.94,8101,1998,89,42.4,10.5,1.34,4.95,72,0,9,1,1
V09380,127416,11.66,4961,2167,89,34.9,12.1,1.75,0.08,88,0,2,5,1
V09381,262529,10.39,10964,103,113,24.8,11.7,4.57,3.21,94,3,5,3,1
V09382,242216,8.87,1464,1742,81,26.1,11.7,4.36,1.96,78,0,0,5,1
V09383,204895,13.6,4647,895,102,30.6,10.2,3.09,4.56,92,2,8,2,1
V09384,190567,7.02,4905,2181,89,24.2,13.7,2.79,7.32,85,3,7,0,1
V09385,288247,11.66,5982,2137,113,20.0,11.3,4.16,0.04,99,0,6,0,1
V09386,94792,9.72,4352,2402,110,25.2,13.3,4.44,4.78,88,3,3,2,1
V09387,117497,11.94,10288,1996,83,25.5,10.0,4.19,6.39,81,0,7,3,1
V09388,82093,8.28,9776,213,114,37.7,13.4,1.93,4.21,89,1,2,5,1
V09389,277759,11.35,3833,1211,106,41.2,11.5,4.48,4.86,84,3,0,3,0
V09390,225064,15.88,5646,1863,114,43.4,11.0,3.55,2.82,78,2,0,1,1
V09391,143468,8.93,2681,1043,114,32.6,13.4,3.54,9.15,56,2,2,0,0
V09392,269149,10.7,668,304,75,32.7,14.7,4.58,1.17,64,4,0,0,0
V09393,278396,17.48,6773,1974,90,42.0,13.0,3.06,7.76,85,4,0,5,1
V09394,139060,13.75,2327,1055,108,38.8,13.1,4.49,0.14,75,0,7,1,0
V09395,234295,8.97,1649,1852,91,37.4,15.0,3.58,0.14,53,4,0,0,0
V09396,181705,9.95,4577,774,74,32.1,11.0,3.17,4.36,97,4,3,5,0
V09397,263946,8.1,8117,2396,115,37.0,12.0,2.55,5.99,87,1,8,5,1
V09398,260209,10.28,5136,539,90,43.8,13.0,4.43,6.29,97,0,5,5,0
V09399,286398,14.57,11506,1010,82,20.8,11.1,3.14,0.55,93,3,9,2,1
V09400,173755,14.89,10515,459,107,32.3,11.2,2.36,8.41,96,3,6,4,0
V09401,240378,9.44,9026,166,82,22.4,11.0,2.84,5.47,59,0,7,4,1
V09402,110438,7.86,10712,1882,83,27.6,10.2,2.68,0.95,79,3,1,4,1
V09403,184842,16.56,8244,1014,82,24.4,11.2,1.68,7.16,99,1,8,3,1
V09404,214680,10.9,5592,1424,119,35.9,10.5,2.93,3.32,50,0,2,5,1
V09405,247218,13.31,11472,2315,71,40.8,14.3,1.77,2.36,67,3,7,4,1
V09406,237853,16.49,6852,1714,115,25.8,11.9,4.88,2.69,77,0,7,3,1
V09407,113989,12.54,6210,851,113,38.0,10.2,3.81,7.18,59,2,4,0,0
V09408,148018,10.26,2772,650,96,35.4,14.9,2.38,8.64,82,3,5,2,0
V09409,120562,7.7,10883,1395,92,34.4,14.8,2.07,3.06,86,3,8,3,0
V09410,109094,14.56,1961,308,100,28.5,12.7,4.81,4.53,77,4,0,2,0
V09411,58297,13.72,11386,1949,102,21.7,11.0,2.33,6.0,68,3,6,2,1
V09412,287670,17.61,11076,288,85,24.2,12.8,2.08,8.97,54,1,7,4,1
V09413,236363,13.83,2692,2292,80,22.0,14.8,4.05,4.69,72,2,6,3,0
V09414,89093,7.37,3537,1233,119,44.9,15.0,2.76,6.26,81,2,6,2,1
V09415,122730,6.66,4263,2260,70,44.0,14.5,1.17,2.94,52,4,3,5,0
V09416,216376,10.99,4988,2051,92,21.9,14.6,3.17,5.15,86,4,1,3,1
V09417,283178,9.0,11811,940,75,23.4,12.3,3.04,0.74,96,2,1,5,1
V09418,150216,14.43,7931,1458,111,23.7,12.5,2.58,8.61,67,4,6,3,0
V09419,153153,13.07,1655,2317,106,33.9,13.9,3.83,2.49,52,1,2,0,0
V09420,231721,17.35,2157,224,116,28.7,14.0,1.13,7.13,78,2,6,4,0
V09421,75648,13.93,709,1864,114,22.8,10.4,3.05,0.54,87,1,5,2,0
V09422,167306,11.31,8136,1867,71,29.0,12.3,3.13,7.14,97,4,4,1,0
V09423,58981,8.28,4095,1239,85,29.6,11.3,4.87,8.21,69,1,4,3,0
V09424,85538,14.83,6736,1580,99,41.3,12.8,4.5,8.74,90,3,5,2,0
V09425,67908,14.44,9820,1291,105,40.7,10.9,3.07,4.98,51,0,8,0,1
V09426,188694,6.17,6173,2499,115,38.4,14.3,3.88,6.04,84,0,5,1,1
V09427,182050,13.09,8444,1697,104,22.7,14.6,1.73,0.79,82,0,1,4,0
V09428,182246,8.46,8833,142,118,40.7,13.2,4.9,7.15,59,4,0,2,0
V09429,101612,6.3,8381,1225,94,38.9,11.5,4.0,0.06,97,4,5,0,0
V09430,126997,10.78,6864,834,100,29.6,14.5,2.58,2.99,55,2,5,3,0
V09431,156476,16.21,8035,395,97,42.8,12.2,4.1,3.22,87,0,8,4,1
V09432,207726,14.34,5013,1539,91,32.4,11.7,1.9,8.51,98,4,9,3,1
V09433,104610,8.77,774,2238,91,29.2,13.8,1.57,3.52,54,4,1,4,0
V09434,52975,10.33,7760,1928,118,37.8,11.9,2.72,9.26,86,1,7,2,1
V09435,88214,17.07,3041,1232,118,33.0,11.2,4.32,3.07,96,1,6,4,1
V09436,221513,7.66,11125,2394,90,35.0,12.6,3.34,1.29,66,0,8,0,0
V09437,88702,9.7,1560,1406,87,38.8,11.8,3.92,6.81,50,3,1,2,0
V09438,218095,12.96,11131,659,95,29.9,14.8,4.23,7.71,78,2,9,5,1
V09439,283645,13.46,11320,1189,116,37.5,12.4,4.41,3.39,84,1,5,2,1
V09440,77139,7.98,6061,2314,108,24.3,13.5,1.08,2.01,96,0,1,3,1
V09441,235111,15.62,1710,1418,82,34.0,12.0,1.75,6.77,50,0,6,0,1
V09442,276191,16.73,2548,1249,77,43.4,12.9,1.94,4.95,73,3,8,2,0
V09443,291254,9.02,10326,178,110,25.0,11.9,2.09,2.97,60,0,6,5,1
V09444,293203,15.31,2698,1565,116,33.4,10.2,1.87,6.93,96,3,3,1,1
V09445,211285,9.04,6864,796,90,29.7,12.7,3.9,3.12,76,4,0,3,0
V09446,170139,15.44,9232,2468,118,32.2,13.8,1.16,8.37,55,3,3,2,1
V09447,272466,15.81,6164,483,99,27.4,11.4,3.6,0.77,56,1,0,4,0
V09448,184944,17.97,1589,2011,99,35.6,14.5,1.11,5.21,90,0,5,3,1
V09449,212469,17.4,2114,1283,101,39.0,13.8,4.65,6.38,63,3,4,4,0
V09450,111289,9.23,11756,836,114,27.8,10.8,1.81,8.76,57,2,9,5,1
V09451,78106,7.97,7692,859,107,22.4,14.2,3.58,7.76,79,3,0,0,1
V09452,212964,13.52,2697,1413,119,34.9,14.9,3.54,8.43,82,2,0,5,0
V09453,262546,16.19,2676,1118,100,28.8,10.1,2.99,6.24,95,0,7,3,1
V09454,295595,8.04,7326,583,101,28.6,13.9,1.56,4.83,96,1,6,1,1
V09455,152004,9.14,857,1204,117,26.8,13.2,3.7,8.79,87,4,2,1,0
V09456,161596,13.86,10222,201,107,44.4,13.0,4.42,7.32,56,3,6,1,1
V09457,205028,14.91,5880,1192,117,20.4,11.2,4.91,1.57,88,1,0,2,1
V09458,158619,10.08,7519,1040,84,29.2,13.4,1.03,6.48,73,4,2,0,1
V09459,62993,16.19,6998,1108,77,27.2,12.3,2.96,6.47,97,3,6,4,1
V09460,182408,8.35,1128,1520,74,36.8,12.1,2.59,0.26,54,0,4,0,0
V09461,263971,16.61,4284,490,95,40.5,13.0,4.98,7.76,76,1,0,1,1
